book_id,book_title,book_description,book_price,author_id,genre_id
1,"To Kill a Monkingbird","Since its original publication in 1960, To Kill a Mockingbird has sold over 30 million copies, won the Pulitzer Prize in 1961, was a New York Times bestseller for more than 40 weeks, and has been translated into 20 languages. This anniversary edition of an American classic features a new Introduction by the author",5.59,1,7
2,"Pride and Prejudice","Pride and Prejudice is an 1813 novel of manners by Jane Austen. The novel follows the character development of Elizabeth Bennet, the dynamic protagonist of the book who learns about the repercussions of hasty judgments and comes to appreciate the difference between superficial goodness and actual goodness.",5.99,2,7
3,Persuasion,"Persuasion tells the story of a second chance, the reawakening of love between Anne Elliot and Captain Frederick Wentworth, whom eight years earlier she had been persuaded not to marry. Wentworth returns from the Napoleonic Wars with prize money and the social acceptability of naval rank.",6.95,2,7
4,"The Great Gatsby","The Great Gatsby is a 1925 novel by American writer F. Scott Fitzgerald. Set in the Jazz Age on Long Island, near New York City, the novel depicts first-person narrator Nick Carraway's interactions with mysterious millionaire Jay Gatsby and Gatsby's obsession to reunite with his former lover, Daisy Buchanan.",7.00,3,7
5,"Tender is the Night","Tender Is the Night is the fourth and final novel completed by American writer F. Scott Fitzgerald. Set in French Riviera during the twilight of the Jazz Age, the 1934 novel chronicles the rise and fall of Dick Diver, a promising young psychiatrist, and his wife, Nicole, who is one of his patients.",5.99,3,7
6,"One Hundred Years of Solitude","One Hundred Years of Solitude is a 1967 novel by Colombian author Gabriel García Márquez that tells the multi-generational story of the Buendía family, whose patriarch, José Arcadio Buendía, founded the town of Macondo. The novel is often cited as one of the supreme achievements in literature.",10.99,4,7
7,"Love in the Time of Cholera","In their youth, Florentino Ariza and Fermina Daza fall passionately in love. When Fermina eventually chooses to marry a wealthy, well-born doctor, Florentino is devastated, but he is a romantic. As he rises in his business career he whiles away the years in 622 affairs--yet he reserves his heart for Fermina. Her husband dies at last, and Florentino purposefully attends the funeral. Fifty years, nine months, and four days after he first declared his love for Fermina, he will do so again",6.99,4,7
8,"Crime and Punishment","Raskolnikov, a former student, lives in poverty and chaos in St. Petersburg. He decides—through contradictory theories, including utilitarian morality and the belief that extraordinary people have the “right to transgress”—to murder Alyona Ivanovna, an elderly pawnbroker.",8.99,5,7
9,"The Brothers Karamazov","The Brothers Karamasov is a murder mystery, a courtroom drama, and an exploration of erotic rivalry in a series of triangular love affairs involving the “wicked and sentimental” Fyodor Pavlovich Karamazov and his three sons―the impulsive and sensual Dmitri; the coldly rational Ivan; and the healthy, red-cheeked young novice Alyosha. Through the gripping events of their story, Dostoevsky portrays the whole of Russian life, is social and spiritual striving, in what was both the golden age and a tragic turning point in Russian culture.",5.99,5,7
10,"To the Lighthouse","To the Lighthouse is a 1927 novel by Virginia Woolf. The novel centres on the Ramsay family and their visits to the Isle of Skye in Scotland between 1910 and 1920.",5.99,6,7
11,"The Waves","The Waves is a 1931 novel by Virginia Woolf and is considered to be her most experimental work. The book consists of soliloquies spoken by six characters Bernard, Susan, Rhoda, Neville, Jinny, and Louis. Also important is Percival, the seventh character, though readers never hear him speak in his own voice.",4.99,6,7
12,"Great Expectations","Great Expectations follows the childhood and young adult years of Pip a blacksmith's apprentice in a country village. He suddenly comes into a large fortune (his great expectations) from a mysterious benefactor and moves to London where he enters high society.",11.99,7,7
13,"A Tale of Two Cities","The novel tells the story of the French Doctor Manette, his 18-year-long imprisonment in the Bastille in Paris, and his release to live in London with his daughter Lucie whom he had never met. The story is set against the conditions that led up to the French Revolution and the Reign of Terror.",5.99,7,7
14,Catch-22,"Catch-22, satirical novel by American writer Joseph Heller, published in 1961. The work centres on Captain John Yossarian, an American bombardier stationed on a Mediterranean island during World War II, and chronicles his desperate attempts to stay alive.",6.99,8,7
15,"Something Happened","Something Happened is Joseph Heller's second novel (published in 1974, thirteen years after Catch-22). Its main character and narrator is Bob Slocum, a businessman who engages in a stream of consciousness narrative about his job, his family, his childhood, his sexual escapades, and his own psyche.",6.99,8,7
16,"Catcher in the Rye","The Catcher in the Rye, novel by J.D. Salinger published in 1951. The novel details two days in the life of 16-year-old Holden Caulfield after he has been expelled from prep school. Confused and disillusioned, Holden searches for truth and rails against the “phoniness” of the adult world.",4.95,9,7
17,"Franny and Zooey","Franny and Zooey is a book by American author J. D. Salinger which comprises his short story 'Franny' and novella Zooey.",3.99,9,7
18,"The Grapes of Wrath","The Grapes of Wrath centres on the Joad family, hardworking farmers who have lost everything in the Oklahoma Dust Bowl in the 1930s. Seeking better opportunities, they decide to make the arduous trek to California. Their situation, however, fails to improve as the Joads struggle to find work.",6.99,10,7
19,"East of Eden","Set in the rich farmland of California's Salinas Valley, this sprawling and often brutal novel follows the intertwined destinies of two families—the Trasks and the Hamiltons—whose generations helplessly reenact the fall of Adam and Eve and the poisonous rivalry of Cain and Abel.",4.95,10,7
20,"The Old Man and the Sea","It is the story of an epic struggle between an old, seasoned fisherman Santiago and his life's greatest catch of fish. Santiago is an aged Cuban fisherman. For eighty-four days, he has set out to sea but every time returned empty-handed.",5.00,11,7
21,"A Farewell to Arms","A Farewell to Arms is a novel by American writer Ernest Hemingway, set during the Italian campaign of World War I. First published in 1929, it is a first-person account of an American, Frederic Henry, serving as a lieutenant in the ambulance corps of the Italian Army.",6.00,11,7
22,"The Sun Also Rises","The Sun Also Rises follows a group of young American and British expatriates as they wander through Europe in the mid-1920s. They are all members of the cynical and disillusioned Lost Generation, who came of age during World War I (1914–18).",5.95,11,7
23,"Around the World in 80 Days","This story follows two travelers that grow to a trio and then a foursome as they fight their way through countless obstacles to reach home. The main characters are Phileas Foggwho is trying to win a bet that he made with the Reform Club that he can travel around the world in 80 days.",5.99,12,5
24,"20,000 Leagues Under the Sea","Twenty Thousand Leagues Under the Sea tells the story of three men who go to sea in search of a giant whale. They are taken prisoner on board the world's first submarine – the Nautilus. The Nautilus travels through the world's seas. The men see amazing deep-sea creatures, and they travel to remote islands.",6.95,12,5
25,"Heart of Darkness","Heart of Darkness is a novella by Polish-English novelist Joseph Conrad. It tells the story of Charles Marlow, a sailor who takes on an assignment from a Belgian trading company as a ferry-boat captain in the African interior.",7.00,13,5
26,"The Cruel Sea","The Cruel Sea is a 1951 novel by Nicholas Monsarrat. It follows the lives of a group of Royal Navy sailors fighting the Battle of the Atlantic during the Second World War. It contains seven chapters, each describing a year during the war.",9.50,14,5
27,Moby-Dick,"Moby-Dick; or, The Whale is an 1851 novel by American writer Herman Melville. The book is the sailor Ishmael's narrative of the obsessive quest of Ahab, captain of the whaling ship Pequod, for revenge against Moby Dick, the giant white sperm whale that on the ship's previous voyage bit off Ahab's leg at the knee.",10.00,15,5
28,"Life of Pi","Yann Martel’s Life of Pi is the story of a young man who survives a harrowing shipwreck and months in a lifeboat with a large Bengal tiger named Richard Parker.",4.69,16,5
29,"The High Mountains of Portugal","The High Mountains of Portugal is a 2016 novel by Canadian author Yann Martel. The novel is split into three sections, each of which concerns a widower.",5.99,16,5
30,"The Right Stuff","The Right Stuff is a 1979 book by Tom Wolfe about the pilots engaged in U.S. postwar research with experimental rocket-powered, high-speed aircraft as well as documenting the stories of the first Project Mercury astronauts selected for the NASA space program.",6.50,17,5
31,"The Electric Kool-Aid Acid Test","Tom Wolfe chronicles the adventures of Ken Kesey and his group of followers. Throughout the work, Kesey is portrayed as desiring the creation of a new religion. Kesey forms a group of followers based on the allure of transcendence achievable through drugs and his ability to preach and captivate listeners.",5.00,17,5
32,"The Call of the Wild","The Call of the Wild is a short adventure novel by Jack London, published in 1903 and set in Yukon, Canada, during the 1890s Klondike Gold Rush, when strong sled dogs were in high demand. The central character of the novel is a dog named Buck.",5.99,18,5
33,"White Fang","White Fang is the story of a wolf dog that is rescued from its brutal owner and gradually becomes domesticated through the patience and kindness of its new owner, Weedon Scott. White Fang eventually defends Scott's father from attack by an escaped convict.",4.50,18,5
34,"Watership Down","Watership Down is the tale of a group of rabbits in search of a home. Fiver, a small, young rabbit, has a gift: He can tell when things are going to happen and he can sense whether they will be good or bad.",5.00,19,5
35,"The Swiss Family Robinson","The classic adventure tale of a brave family who must come together to survive in their new deserted island home. Swept off course by a raging storm, a Swiss pastor, his wife, and their four young sons are shipwrecked on an uncharted tropical island.",7.00,20,5
36,"True Grit","A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer. Following the murder of her father by hired hand Tom Chaney, 14-year-old farm girl Mattie Ross sets out to capture the killer. To aid her, she hires the toughest U.S. marshal she can find, a man with true grit.",4.19,21,5
37,"The Jungle Book","The Jungle Book by Rudyard Kipling is an adventure story about a man-cub named Mowgli. Mowgli is hunted by an evil tiger named Shere Khan. Mowgli tries to live a peaceful life with other humans, but is too wild for them and too human for the wolves.",5.00,22,5
38,"And Then There Were None"," Considered the best mystery novel ever written by many readers, And Then There Were None is the story of ten strangers, each lured to Indian Island by a mysterious host. Once his guests have arrived, the host accuses each person of murder.",5.87,23,2
39,"Murder on the Orient Express","An American tycoon lies dead in his compartment, stabbed a dozen times, his door locked from the inside. Isolated and with a killer in their midst, detective Hercule Poirot must identify the murderer – in case he or she decides to strike again.",5.00,23,2
40,"Death on the Nile","While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress. Belgian sleuth Hercule Poirot's vacation aboard a glamorous river steamer turns into a terrifying search for a murderer when a picture-perfect couple's idyllic honeymoon is tragically cut short.",7.00,23,2
41,"The Mysterious Affair at Styles","The novel is set in England during World War I at Styles Court, an Essex country manor (also the setting of Curtain, Poirot's last case). Upon her husband's death, the wealthy widow, Emily Cavendish, inherited a life estate in Styles as well as the outright inheritance of the larger part of the late Mr.",8.95,23,2
42,"The Big Sleep","A dying millionaire hires private eye Philip Marlowe to handle the blackmailer of one of his two troublesome daughters, and Marlowe finds himself involved with more than extortion. Kidnapping, pornography, seduction, and murder are just a few of the complications he gets caught up in.",4.99,24,2
43,"The Long Goodbye","A hard-boiled detective story about gangsters, rich people, dames, drunks, adulterers, and writers. Down-and-out drunk Terry Lennox has a problem: his millionaire wife is dead and he needs to get out of LA fast",6.00,24,2
44,"Farewell, My Lovely","Private detective Philip Marlowe is investigating a dead-end missing person case when he sees a felon, Moose Malloy, barging into a nightclub called Florian's, looking for his ex-girlfriend Velma Valento. The club has changed owners, so no one now there knows her.",4.99,24,2
45,"The High Window","Private investigator Philip Marlowe is hired by wealthy widow Elizabeth Bright Murdock to recover a missing Brasher Doubloon, a rare and valuable coin. Mrs. Murdock suspects it was stolen by her son's estranged wife, Linda Conquest, a former singer.",5.99,24,2
46,"The Lady in the Lake","The revered New York Times bestselling author returns with a novel set in 1960s Baltimore that combines modern psychological insights with elements of classic noir, about a middle-aged housewife turned aspiring reporter who pursues the murder of a forgotten young woman.",4.99,24,2
47,"Trouble is my Business","In “Trouble Is My Business,” a millionaire hires Marlowe to warn away a fortune-hunter from the old man's reckless adopted son. After the boy is shot, all evidence points to the fortune-hunter and her gambler boyfriend.",5.00,24,2
48,Playback,"Marlowe is faced with the choice of turning against his client and taking up the cause of the subject he was hired to investigate, an attractive woman on the run with whom he eventually becomes emotionally entangled.",4.00,24,2
49,"Gone Girl","Gone Girl is a 2012 crime thriller novel by American writer Gillian Flynn. It was published by Crown Publishing Group in June 2012. The novel was popular and made the New York Times Best Seller list. The sense of suspense in the novel comes from whether Nick Dunne is responsible for the disappearance of his wife Amy.",5.00,25,2
50,"The Postman Always Rings Twice","The book tells the story of a Frank, a drifter who takes a job at a diner and falls for the greasy owner's seductive wife, Cora. Their affair, full of lust and overtones of violence, leads Frank and Cora down a dangerous path.",6.98,26,2
51,"In Cold Blood","In Cold Blood is a non-fiction novel by American author Truman Capote, first published in 1966. It details the 1959 murders of four members of the Clutter family in the small farming community of Holcomb, Kansas.",4.50,27,2
52,"The Woman in White","The Woman in White is Wilkie Collins's fifth published novel, written in 1859 and set from 1849 to 1850. It is a mystery novel and falls under the genre of 'sensation novels'.",7.00,28,2
53,"The Dead Secret","A mystery of unrelenting suspense and penetrating characterization, The Dead Secret explores the relationship between a fallen woman, her illegitimate daughter, and buried secrets in a superb blend of romance and Gothic drama.",4.25,28,2
54,"Anatomy of a Murder","Anatomy of a Murder is the story of Paul Biegler, a small town lawyer in the Upper Peninsula who takes on the case of Lieutenant Manion, charged with murder for shooting a local barkeeper. Based on the true story of a murder in Big Bay, Michigan, the novel is a fictionalized account of the trial.",7.85,29,2
55,"Tinker, Tailor, Soldier, Spy","Tinker Tailor Soldier Spy is a 1974 spy novel by British-Irish author John le Carré. It follows the endeavours of taciturn, aging spymaster George Smiley to uncover a Soviet mole in the British Secret Intelligence Service",4.50,30,2
56,"The Killer in the Crowd","'Killer in the Crowd' builds steadily on some seemingly isolated deaths and missing persons around the 80s post-punk scene. It plots Cath, the main character's journey from reserved drama teacher to mega-rock star, through a series of losses, attempts on her life, and ultimately shattering discoveries.",4.00,31,2
57,"The Daughter of Time","The Daughter of Time is a 1951 detective novel by Josephine Tey, concerning a modern police officer's investigation into the alleged crimes of King Richard III of England. It was the last book Tey published in her lifetime, shortly before her death.",5.60,31,2
58,"The Maltese Falcon","Hard-boiled detective Sam Spade is hired to locate a client's sister by tailing the sister's companion. Spade's partner Miles Archer takes on the assignment, and quickly both Archer and the man he was shadowing are murdered.",11.99,32,2
59,"In the Woods","In the Woods is a 2007 mystery novel by Tana French about a pair of Irish detectives and their investigation of the murder of a twelve-year-old girl. It is the first book in French's Dublin Murder Squad series.",5.69,33,2
60,"The Sweetness at the Botttom of the Pie","The Sweetness at the Bottom of the Pie is a mystery by Alan Bradley published in 2009. Set in the English countryside in 1950, it features Flavia de Luce, an 11-year-old amateur sleuth who pulls herself away from her beloved chemistry lab in order to clear her father in a murder investigation.",6.99,34,2
61,"Brave New World","Brave New World's main theme is the incompatibility of happiness and truth. Throughout the novel, John has argued that it's better to seek truth, even if it involves suffering, than to accept an easy life of pleasure and happiness.",4.99,35,1
62,1984,"The book is set in 1984 in Oceania, one of three perpetually warring totalitarian states (the other two are Eurasia and Eastasia). Oceania is governed by the all-controlling Party, which has brainwashed the population into unthinking obedience to its leader, Big Brother.",5.00,36,1
63,"The Martian Chronicles","The Martian Chronicles is a science fiction fix-up novel, published in 1950, by American writer Ray Bradbury that chronicles the exploration and settlement of Mars, the home of indigenous Martians, by Americans leaving a troubled Earth that is eventually devastated by nuclear war.",6.95,37,1
64,Dune,"A mythic and emotionally charged hero's journey, 'Dune' tells the story of Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, who must travel to the most dangerous planet in the universe to ensure the future of his family and his people.",4.99,38,1
65,"2001: A Space Odyssey","The story follows the growth of human civilization from primitive hominids. Distinctively, Space Odyssey is concerned about not only the evolution that has led to the development of humanity, but also the evolution that humanity might undergo in the future. Hence, we follow Bowman as he is turned into a Star Child.",9.00,39,1
66,"Look at the Birdie","Look at the Birdie is a collection of fourteen previously unpublished short stories by Kurt Vonnegut, released on October 20, 2009. It is the second posthumously published Kurt Vonnegut book, the first being Armageddon in Retrospect.",8.99,40,1
67,Foundation,"First published in 1951, Isaac Asimov's space saga Foundation tells the story of a secretive science institute that tries to save a galactic empire from the worst effects of its coming collapse. Four of the five interrelated stories comprising the novel appeared in Astounding Science Fiction between 1942 and 1944.",6.99,41,1
68,Neuromancer,"The story follows the experiences of Case, an out-of-work hacker who is contacted by a mysterious new employer called Armitage. Along with Molly, a mercenary cyborg, and a thief/illusionist named Peter Riviera, Case participates in a series of data thefts for their employer.",5.50,42,1
69,"Ender's Game","The novel tells the story of a young boy, Ender Wiggin, who is sent to a training academy named Battle School, located in orbit above the Earth, built to train people to become soldiers that will one day battle against a vast alien race known as 'Buggers'.",6.69,43,1
70,"The Handmaid's Tale","The Handmaid's Tale (1985) is a novel of speculative fiction by Canadian author Margaret Atwood. Set in a near-future New England, in a totalitarian theocracy which has overthrown the United States government, the dystopian novel explores themes of women in subjugation and the various means by which they gain agency.",5.99,44,1
71,"Doomsday Book","It is set in two epidemics in two time periods, an influenza epidemic in 2054 and the Black Death in 1348, and the two stories alternate, the future time worrying about Kivrin, the student trapped in the wrong part of the past, while Kivrin back in 1348 is trying to cope and learn and help.",5.99,45,1
72,"Welcome to the Monkey House","Welcome to the Monkey House is a collection of 25 short stories written by Kurt Vonnegut, published by Delacorte in August 1968. The stories range from wartime epics to futuristic thrillers, given with satire and Vonnegut's unique edge.",5.99,40,1
